Site  Number,Tower  Asset  Number,Project  Number,Project  Name,Customer  Equipment  Number,Customer  Equipment  Name,Portfolio  Country,Status,Customer  Equipment  Type,Customer  Equipment  Status,Customer  Name,Ground  Equipment  Type,Ground  Technology  Type,Ground  Equipment  Location,Ground  Equipment  Make,Ground  Equipment  Model,Ground  Lenght,Ground  Widht,Ground  Hight,antenna  instalation  status,antenna  equipment  type,antenna  mount  type,antenna  make,antenna  model,antenna  height,antenna  width,antenna  depth,azimuth,feeder/Line  qty,feeder/Line  type
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Removing,Panel-Dualband,Dual  Antenna,Kathrein,742266,2516.0,262.0,139.0,1.977576,2,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Remaining,TTA/TMA,Behind  Antenna,Ericsson,TMA2100,220.0,150.0,50.0,0.0,0,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Remaining,TTA/TMA,Behind  Antenna,Ericsson,TMA2100,220.0,150.0,50.0,0.0,0,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Remaining,TTA/TMA,Behind  Antenna,Ericsson,TMA2100,220.0,150.0,50.0,0.0,0,Coax
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Removing,RET/RCU,Flush,Kathrein,86010045,125.0,50.0,,0.01875,0,Jumper
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Removing,RET/RCU,Flush,Kathrein,86010045,125.0,50.0,,0.01875,0,Jumper
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Removing,RET/RCU,Flush,Kathrein,86010045,125.0,50.0,,0.01875,0,Jumper
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Triplexer,Behind  Antenna,COMBA,CM-BDW3D-OD4C,316.0,202.0,112.0,0.0,0,Jumper
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Triplexer,Behind  Antenna,COMBA,CM-BDW3D-OD4C,316.0,202.0,112.0,0.0,0,Jumper
350010,350010-WT1,  ,  ,  ,CE-350010-MTN  S.A.,South  Africa,Active,Tower,Contract,MTN  S.A.,Base  Transceiver  Station,2G/3G/4G,Indoor-Customer  Shelter,Ericsson,RBS  6201,,,,Proposed,Triplexer,Behind  Antenna,COMBA,CM-BDW3D-OD4C,316.0,202.0,112.0,0.0,0,Jumper
